idade,emprego,estado_civil,educacao,saldo_bancario,possui_casa,emprestimo,dia,mes,duracao,qtd_contato,deposito
59,admin.,married,secondary,2343,1,0,5,5,1042,1,1
56,admin.,married,secondary,45,0,0,5,5,1467,1,1
41,technician,married,secondary,1270,1,0,5,5,1389,1,1
55,services,married,secondary,2476,1,0,5,5,579,1,1
54,admin.,married,tertiary,184,0,0,5,5,673,2,1
42,management,single,tertiary,0,1,1,5,5,562,2,1
56,management,married,tertiary,830,1,1,6,5,1201,1,1
60,retired,divorced,secondary,545,1,0,6,5,1030,1,1
37,technician,married,secondary,1,1,0,6,5,608,1,1
28,services,single,secondary,5090,1,0,6,5,1297,3,1
38,admin.,single,secondary,100,1,0,7,5,786,1,1
30,blue-collar,married,secondary,309,1,0,7,5,1574,2,1
29,management,married,tertiary,199,1,1,7,5,1689,4,1
46,blue-collar,single,tertiary,460,1,0,7,5,1102,2,1
31,technician,single,tertiary,703,1,0,8,5,943,2,1
35,management,divorced,tertiary,3837,1,0,8,5,1084,1,1
32,blue-collar,single,primary,611,1,0,8,5,541,3,1
49,services,married,secondary,-8,1,0,8,5,1119,1,1
41,admin.,married,secondary,55,1,0,8,5,1120,2,1
49,admin.,divorced,secondary,168,1,1,8,5,513,1,1
28,admin.,divorced,secondary,785,1,0,8,5,442,2,1
43,management,single,tertiary,2067,1,0,8,5,756,1,1
43,management,divorced,tertiary,388,1,0,8,5,2087,2,1
43,blue-collar,married,primary,-192,1,0,8,5,1120,2,1
37,unemployed,single,secondary,381,1,0,8,5,985,2,1
35,blue-collar,single,secondary,40,1,0,9,5,617,4,1
31,technician,single,tertiary,22,1,0,9,5,483,3,1
43,blue-collar,single,secondary,3,1,0,9,5,929,3,1
31,admin.,married,secondary,307,1,0,9,5,538,1,1
28,blue-collar,single,secondary,759,1,0,9,5,710,1,1
32,blue-collar,married,secondary,-1,1,0,9,5,653,1,1
60,technician,married,primary,65,1,0,9,5,1028,2,1
26,blue-collar,single,secondary,82,1,0,9,5,654,1,1
40,blue-collar,married,secondary,10,1,0,9,5,1692,2,1
33,blue-collar,divorced,primary,390,1,0,9,5,665,2,1
32,management,single,tertiary,311,0,0,12,5,757,2,1
35,blue-collar,married,primary,414,0,0,13,5,504,4,1
33,management,divorced,secondary,5,1,0,13,5,1346,1,1
38,management,married,tertiary,119,1,0,13,5,568,4,1
23,entrepreneur,single,primary,4,1,0,13,5,395,2,1
60,blue-collar,married,primary,1262,1,1,13,5,1015,1,1
48,management,married,tertiary,1949,1,0,13,5,683,2,1
45,entrepreneur,divorced,tertiary,-395,1,0,13,5,470,1,1
36,blue-collar,married,secondary,1165,1,0,13,5,1001,4,1
52,management,married,unknown,2240,1,0,13,5,845,1,1
35,blue-collar,divorced,primary,300,1,0,13,5,945,2,1
43,technician,married,secondary,3285,1,0,13,5,1721,2,1
52,housemaid,married,secondary,3923,1,0,14,5,942,3,1
53,technician,divorced,primary,1443,1,0,14,5,476,1,1
48,blue-collar,divorced,primary,24,1,0,14,5,832,1,1
41,blue-collar,single,primary,1618,1,0,14,5,1553,1,1
39,management,divorced,tertiary,517,1,1,14,5,1328,1,1
59,retired,married,secondary,1521,1,1,14,5,1125,2,1
41,blue-collar,married,secondary,2823,1,0,14,5,858,1,1
48,blue-collar,married,secondary,1405,1,0,14,5,629,2,1
40,admin.,married,secondary,1535,1,0,14,5,704,1,1
48,blue-collar,married,secondary,1596,1,0,14,5,760,1,1
60,retired,married,primary,1542,1,0,14,5,930,1,1
40,technician,single,unknown,3652,1,0,14,5,1028,2,1
57,technician,married,tertiary,-1,0,0,14,5,850,2,1
51,blue-collar,married,secondary,7180,1,0,14,5,927,1,1
41,blue-collar,divorced,secondary,5291,1,0,14,5,1423,3,1
41,blue-collar,married,secondary,1384,1,0,15,5,1162,4,1
52,blue-collar,divorced,primary,-191,1,0,15,5,755,1,1
59,blue-collar,married,primary,320,1,0,15,5,695,1,1
44,blue-collar,married,unknown,146,1,0,15,5,483,1,1
49,unknown,married,primary,341,1,1,15,5,520,2,1
40,services,married,primary,-9,1,0,15,5,920,2,1
41,admin.,married,primary,-306,1,0,15,5,500,1,1
44,technician,married,tertiary,4580,1,0,15,5,911,2,1
60,services,single,primary,313,1,0,15,5,920,2,1
29,management,married,tertiary,10576,0,0,15,5,1224,2,1
41,retired,divorced,primary,-233,1,0,15,5,1156,2,1
41,blue-collar,married,primary,2453,1,0,15,5,1052,1,1
42,technician,single,secondary,1364,1,0,15,5,1867,6,1
36,services,single,unknown,281,1,0,16,5,515,1,1
39,technician,married,tertiary,94,1,1,16,5,813,1,1
31,self-employed,single,tertiary,144,1,0,16,5,676,1,1
26,blue-collar,married,secondary,246,1,0,16,5,1143,3,1
31,blue-collar,married,secondary,92,1,0,16,5,688,1,1
29,admin.,single,secondary,163,1,1,16,5,803,1,1
37,services,divorced,secondary,49,1,0,16,5,619,2,1
33,blue-collar,single,secondary,-416,1,0,16,5,767,2,1
24,technician,single,secondary,409,1,0,16,5,912,1,1
50,admin.,divorced,secondary,363,1,0,16,5,1340,1,1
27,technician,single,tertiary,3706,1,0,16,5,897,1,1
54,management,single,tertiary,4393,1,0,16,5,1297,3,1
30,technician,single,secondary,863,1,0,16,5,1193,5,1
34,blue-collar,married,primary,695,1,1,16,5,1064,4,1
37,management,single,secondary,792,1,0,16,5,1187,4,1
41,admin.,single,secondary,1020,1,0,19,5,882,1,1
47,blue-collar,married,secondary,863,1,0,19,5,943,2,1
31,admin.,married,secondary,97,1,0,19,5,607,1,1
31,blue-collar,married,secondary,754,1,0,19,5,1022,4,1
43,services,divorced,secondary,1040,1,0,19,5,552,3,1
37,management,divorced,tertiary,122,1,0,19,5,1622,2,1
30,technician,single,tertiary,880,1,1,19,5,967,6,1
41,technician,married,secondary,501,1,0,19,5,579,5,1
36,blue-collar,married,secondary,4438,1,0,20,5,446,1,1
35,blue-collar,divorced,secondary,0,1,0,20,5,1205,1,1
29,services,single,secondary,271,1,0,20,5,1882,2,1
35,blue-collar,married,primary,102,1,0,20,5,1334,1,1
31,blue-collar,married,secondary,2,1,0,20,5,182,2,1
35,services,married,secondary,4170,1,0,20,5,1777,1,1
34,technician,single,secondary,85,1,0,20,5,1182,4,1
31,admin.,single,secondary,431,1,1,20,5,1045,1,1
44,technician,divorced,secondary,982,1,0,20,5,650,3,1
36,blue-collar,married,primary,408,1,1,20,5,1063,2,1
35,blue-collar,married,unknown,4822,1,0,20,5,843,2,1
41,blue-collar,married,primary,1250,1,0,20,5,1392,2,1
31,blue-collar,single,primary,216,1,0,21,5,565,1,1
34,blue-collar,married,secondary,1207,1,0,21,5,905,1,1
32,technician,married,secondary,791,1,0,21,5,783,2,1
36,management,married,tertiary,849,1,1,21,5,958,2,1
30,blue-collar,single,secondary,239,1,0,21,5,412,1,1
37,technician,single,secondary,1211,1,0,21,5,795,1,1
36,blue-collar,married,primary,599,1,0,21,5,649,2,1
31,management,single,tertiary,825,1,0,21,5,506,2,1
27,technician,married,secondary,2183,1,1,21,5,857,1,1
34,retired,married,primary,4499,0,0,21,5,1681,1,1
30,technician,single,tertiary,1289,1,0,21,5,1697,2,1
32,technician,single,tertiary,4665,1,0,21,5,860,2,1
37,technician,single,secondary,3326,1,0,21,5,799,1,1
32,blue-collar,married,secondary,783,1,0,21,5,923,3,1
33,blue-collar,married,secondary,0,1,0,21,5,521,3,1
35,blue-collar,married,primary,994,1,0,23,5,1349,8,1
35,self-employed,divorced,tertiary,1354,1,0,23,5,736,2,1
30,blue-collar,single,secondary,239,1,0,23,5,785,1,1
45,blue-collar,divorced,primary,-311,1,0,23,5,1030,1,1
45,admin.,married,secondary,149,1,0,23,5,893,3,1
33,blue-collar,married,secondary,1464,1,0,23,5,588,3,1
44,management,divorced,tertiary,5773,0,0,23,5,597,6,1
40,blue-collar,married,primary,278,1,0,23,5,1015,3,1
31,blue-collar,married,secondary,2910,1,0,23,5,1392,2,1
30,technician,married,tertiary,541,1,0,26,5,414,2,1
44,technician,divorced,secondary,1262,1,0,26,5,788,11,1
34,services,married,secondary,-538,1,0,26,5,682,1,1
37,blue-collar,married,secondary,125,0,0,26,5,679,2,1
28,self-employed,single,tertiary,0,1,0,26,5,1560,2,1
32,admin.,single,secondary,620,1,0,26,5,1234,3,1
37,blue-collar,divorced,secondary,316,1,0,26,5,642,2,1
34,management,married,tertiary,2287,1,0,26,5,895,4,1
38,admin.,divorced,secondary,198,1,0,26,5,431,2,1
28,admin.,single,secondary,460,1,0,26,5,741,6,1
31,management,divorced,tertiary,1145,1,0,26,5,1272,4,1
59,services,married,secondary,-22,1,0,26,5,748,3,1
24,blue-collar,married,secondary,685,1,0,26,5,896,3,1
26,services,single,secondary,901,1,0,26,5,764,2,1
59,retired,single,secondary,351,1,0,27,5,1063,5,1
30,entrepreneur,single,primary,0,1,1,27,5,1051,1,1
37,admin.,married,secondary,274,1,0,27,5,731,3,1
30,admin.,single,secondary,-213,1,1,27,5,751,1,1
25,blue-collar,married,secondary,97,1,0,27,5,709,1,1
44,services,divorced,secondary,51,1,1,27,5,3094,2,1
29,management,married,tertiary,314,0,0,28,5,938,2,1
26,management,single,tertiary,6840,1,0,28,5,1560,2,1
26,technician,single,secondary,668,1,0,28,5,576,3,1
27,services,single,secondary,54,1,0,28,5,543,2,1
25,self-employed,single,secondary,1242,1,0,28,5,615,2,1
28,management,married,secondary,292,1,0,28,5,507,1,1
23,services,single,secondary,665,1,0,28,5,1183,1,1
34,management,single,tertiary,1058,1,0,28,5,864,2,1
28,student,single,secondary,949,1,0,28,5,1730,1,1
51,entrepreneur,married,unknown,606,1,0,28,5,560,9,1
35,blue-collar,married,secondary,0,1,1,29,5,543,1,1
35,admin.,married,secondary,404,1,0,29,5,539,1,1
56,blue-collar,married,secondary,249,1,0,29,5,791,2,1
45,unemployed,divorced,secondary,3354,1,0,29,5,746,1,1
60,blue-collar,divorced,secondary,0,1,0,29,5,1207,1,1
56,technician,married,secondary,589,1,0,29,5,535,2,1
